Date,Open,Low,Close,Adj Close,Volume,High
3/20/2020,146,135.860001,137.350006,135.968292,84866200,147.100006
3/23/2020,137.009995,132.520004,135.979996,134.612076,78975200,140.570007
3/24/2020,143.75,141.270004,148.339996,146.847717,82516700,149.600006
3/25/2020,148.910004,144.440002,146.919998,145.442017,75638200,154.330002
3/26/2020,148.399994,148.369995,156.110001,154.539566,64568100,156.660004
3/27/2020,151.75,149.199997,149.699997,148.194046,57042300,154.889999
3/30/2020,152.440002,150.009995,160.229996,158.618118,63420300,160.600006
3/31/2020,159.399994,156.559998,157.710007,156.123474,77927200,164.779999
4/1/2020,153,150.820007,152.110001,150.579803,57969900,157.75
4/2/2020,151.860001,150.360001,155.259995,153.69812,49630700,155.479996
4/3/2020,155.100006,152.190002,153.830002,152.282501,41243300,157.380005
4/6/2020,160.320007,157.580002,165.270004,163.607422,67111700,166.5
4/7/2020,169.589996,163.259995,163.490005,161.845322,62769000,170
4/8/2020,165.669998,163.5,165.130005,163.468811,48318200,166.669998
4/9/2020,166.360001,163.330002,165.139999,163.478729,51431800,167.369995
4/13/2020,164.350006,162.300003,165.509995,163.844971,41905300,165.570007
4/14/2020,169,168,173.699997,171.952606,52874300,173.75
4/15/2020,171.199997,169.240005,171.880005,170.15094,40940800,173.570007
4/16/2020,174.300003,172.899994,177.039993,175.259003,50479600,177.279999
4/17/2020,179.5,175.869995,178.600006,176.803314,52765600,180
4/20/2020,176.630005,174.990005,175.059998,173.298935,36669600,178.75
4/21/2020,173.5,166.110001,167.820007,166.13176,56203700,173.669998
4/22/2020,171.389999,170.820007,173.520004,171.774429,34651600,174
4/23/2020,174.110001,170.910004,171.419998,169.695557,32790800,175.059998
4/24/2020,172.059998,170.710007,174.550003,172.794067,34305300,174.559998
4/27/2020,176.589996,173.300003,174.050003,172.299103,33194400,176.899994
4/28/2020,175.589996,169.389999,169.809998,168.10173,34392700,175.669998
4/29/2020,173.220001,171.880005,177.429993,175.645081,51286600,177.679993
4/30/2020,180,176.229996,179.210007,177.407196,53875900,180.399994
5/1/2020,175.800003,174.009995,174.570007,172.813858,39370500,178.639999
5/4/2020,174.490005,173.800003,178.839996,177.040894,30372900,179
5/5/2020,180.619995,179.899994,180.759995,178.941589,36839200,183.649994
5/6/2020,182.080002,181.630005,182.539993,180.703674,32139300,184.199997
